postal_code,lat,lon
N7S,42.9857,-82.3647
N7S0A1,43.00232,-82.35006
N7S0A2,43.002,-82.35
N7S0A3,43.002,-82.35
N7S0A4,43.002,-82.35
N7S0A5,43.002,-82.35
N7S0A6,43.002,-82.35
N7S0A7,42.9995109,-82.3485798
N7S0B1,43.00124993,-82.35033196
N7S0B2,43.00124993,-82.35033196
N7S0B3,43.00124993,-82.35033196
N7S0B4,43.00124993,-82.35033196
N7S0B5,43.00124993,-82.35033196
N7S0B6,43.00124993,-82.35033196
N7S0B7,43.00124993,-82.35033196
N7S0C1,42.99389372,-82.37213237
N7S0C2,42.99389372,-82.37213237
N7S0C3,42.99389372,-82.37213237
N7S0C4,42.99389372,-82.37213237
N7S0C5,42.99389372,-82.37213237
N7S0C6,42.99389372,-82.37213237
N7S0C7,42.99389372,-82.37213237
N7S0E1,42.96022066,-82.34908044
N7S0E2,42.96022066,-82.34908044
N7S0E3,42.96022066,-82.34908044
N7S0E4,42.96022066,-82.34908044
N7S0E5,42.96022066,-82.34908044
N7S0E6,42.96022066,-82.34908044
N7S0E7,42.96022066,-82.34908044
N7S0G1,42.9948913,-82.35804658
N7S0G2,42.9948913,-82.35804658
N7S0G3,42.9948913,-82.35804658
N7S0G4,42.9948913,-82.35804658
N7S0G5,42.9948913,-82.35804658
N7S0G6,42.9948913,-82.35804658
N7S0G7,42.9948913,-82.35804658
N7S0G8,42.97932706,-82.36057185
N7S0H1,42.99887254,-82.34501259
N7S0H2,42.99887254,-82.34501259
N7S0H3,42.99887254,-82.34501259
N7S1A1,42.96114275,-82.37455911
N7S1A2,42.96114275,-82.37455911
N7S1A3,42.96114275,-82.37455911
N7S1A4,42.96114275,-82.37455911
N7S1A5,42.96114275,-82.37455911
N7S1A6,42.96114275,-82.37455911
N7S1A7,42.96114275,-82.37455911
N7S1B1,42.96484312,-82.37305399
N7S1B2,42.96484312,-82.37305399
N7S1B3,42.96484312,-82.37305399
N7S1B4,42.96484312,-82.37305399
N7S1B5,42.96484312,-82.37305399
N7S1B6,42.96484312,-82.37305399
N7S1B7,42.96484312,-82.37305399
N7S1C1,42.96685823,-82.36995064
N7S1C2,42.96685823,-82.36995064
N7S1C3,42.96685823,-82.36995064
N7S1C4,42.96685823,-82.36995064
N7S1C5,42.96685823,-82.36995064
N7S1C6,42.96685823,-82.36995064
N7S1C7,42.96685823,-82.36995064
N7S1E1,42.96872928,-82.37302934
N7S1E2,42.96872928,-82.37302934
N7S1E3,42.96872928,-82.37302934
N7S1E4,42.96872928,-82.37302934
N7S1E5,42.96872928,-82.37302934
N7S1E6,42.96872928,-82.37302934
N7S1E7,42.96872928,-82.37302934
N7S1G1,42.9640465,-82.37502427
N7S1G2,42.9640465,-82.37502427
N7S1G3,42.9640465,-82.37502427
N7S1G4,42.9640465,-82.37502427
N7S1G5,42.9640465,-82.37502427
N7S1G6,42.9640465,-82.37502427
N7S1G7,42.9640465,-82.37502427
N7S1H1,42.96145321,-82.37156521
N7S1H2,42.96145321,-82.37156521
N7S1H3,42.96145321,-82.37156521
N7S1H4,42.96145321,-82.37156521
N7S1H5,42.96145321,-82.37156521
N7S1H6,42.96145321,-82.37156521
N7S1H7,42.96145321,-82.37156521
N7S1J1,42.97023512,-82.37496586
N7S1J2,42.97023512,-82.37496586
N7S1J3,42.97023512,-82.37496586
N7S1J4,42.97023512,-82.37496586
N7S1J5,42.97023512,-82.37496586
N7S1J6,42.97023512,-82.37496586
N7S1J7,42.97023512,-82.37496586
N7S1K1,42.97146022,-82.37530934
N7S1K2,42.97146022,-82.37530934
N7S1K3,42.97146022,-82.37530934
N7S1K4,42.97146022,-82.37530934
N7S1K5,42.97146022,-82.37530934
N7S1K6,42.97146022,-82.37530934
N7S1K7,42.97146022,-82.37530934
N7S1L1,42.97390952,-82.3703927
N7S1L2,42.97390952,-82.3703927
N7S1L3,42.97390952,-82.3703927
N7S1L4,42.97390952,-82.3703927
N7S1L5,42.97390952,-82.3703927
N7S1L6,42.97390952,-82.3703927
N7S1L7,42.97390952,-82.3703927
N7S1M1,42.97576776,-82.37230018
N7S1M2,42.97576776,-82.37230018
N7S1M3,42.97576776,-82.37230018
N7S1M4,42.97576776,-82.37230018
N7S1M5,42.97576776,-82.37230018
N7S1M6,42.97576776,-82.37230018
N7S1M7,42.97576776,-82.37230018
N7S1N1,42.97675017,-82.37286281
N7S1N2,42.97675017,-82.37286281
N7S1N3,42.97675017,-82.37286281
N7S1N4,42.97675017,-82.37286281
N7S1N5,42.97675017,-82.37286281
N7S1N6,42.97675017,-82.37286281
N7S1N7,42.97675017,-82.37286281
N7S1P1,42.97914503,-82.36851039
N7S1P2,42.97914503,-82.36851039
N7S1P3,42.97914503,-82.36851039
N7S1P4,42.97914503,-82.36851039
N7S1P5,42.97914503,-82.36851039
N7S1P6,42.97914503,-82.36851039
N7S1P7,42.97914503,-82.36851039
N7S1R1,42.98166269,-82.37629921
N7S1R2,42.98166269,-82.37629921
N7S1R3,42.98166269,-82.37629921
N7S1R4,42.98166269,-82.37629921
N7S1R5,42.98166269,-82.37629921
N7S1R6,42.98166269,-82.37629921
N7S1R7,42.98166269,-82.37629921
N7S1R8,42.98166269,-82.37629921
N7S1S1,42.98143192,-82.3707623
N7S1S2,42.98143192,-82.3707623
N7S1S3,42.98143192,-82.3707623
N7S1S4,42.98143192,-82.3707623
N7S1S5,42.98143192,-82.3707623
N7S1S6,42.98143192,-82.3707623
N7S1S7,42.98143192,-82.3707623
N7S1T1,42.98205788,-82.36897522
N7S1T2,42.98205788,-82.36897522
N7S1T3,42.98205788,-82.36897522
N7S1T4,42.98205788,-82.36897522
N7S1T5,42.98205788,-82.36897522
N7S1T6,42.98205788,-82.36897522
N7S1T7,42.98205788,-82.36897522
N7S1V1,42.984174,-82.37433259
N7S1V2,42.984174,-82.37433259
N7S1V3,42.984174,-82.37433259
N7S1V4,42.984174,-82.37433259
N7S1V5,42.984174,-82.37433259
N7S1V6,42.984174,-82.37433259
N7S1V7,42.984174,-82.37433259
N7S1W1,42.98535823,-82.37286423
N7S1W2,42.98535823,-82.37286423
N7S1W3,42.98535823,-82.37286423
N7S1W4,42.98535823,-82.37286423
N7S1W5,42.98535823,-82.37286423
N7S1W6,42.98535823,-82.37286423
N7S1W7,42.98535823,-82.37286423
N7S1X1,42.98591275,-82.37505379
N7S1X2,42.98591275,-82.37505379
N7S1X3,42.98591275,-82.37505379
N7S1X4,42.98591275,-82.37505379
N7S1X5,42.98591275,-82.37505379
N7S1X6,42.98591275,-82.37505379
N7S1X7,42.98591275,-82.37505379
N7S1Y1,42.98747709,-82.37034884
N7S1Y2,42.98747709,-82.37034884
N7S1Y3,42.98747709,-82.37034884
N7S1Y4,42.98747709,-82.37034884
N7S1Y5,42.98747709,-82.37034884
N7S1Y6,42.98747709,-82.37034884
N7S1Y7,42.98747709,-82.37034884
N7S1Z1,42.99209334,-82.37370788
N7S1Z2,42.99209334,-82.37370788
N7S1Z3,42.99209334,-82.37370788
N7S1Z4,42.99209334,-82.37370788
N7S1Z5,42.99209334,-82.37370788
N7S1Z6,42.99209334,-82.37370788
N7S1Z7,42.99209334,-82.37370788
N7S2A1,42.99321331,-82.3686692
N7S2A2,42.99321331,-82.3686692
N7S2A3,42.99321331,-82.3686692
N7S2A4,42.99321331,-82.3686692
N7S2A5,42.99321331,-82.3686692
N7S2A6,42.99321331,-82.3686692
N7S2A7,42.99321331,-82.3686692
N7S2B1,42.99926124,-82.37449439
N7S2B2,42.99926124,-82.37449439
N7S2B3,42.99926124,-82.37449439
N7S2B4,42.99926124,-82.37449439
N7S2B5,42.99926124,-82.37449439
N7S2B6,42.99926124,-82.37449439
N7S2B7,42.99926124,-82.37449439
N7S2C1,43.00243022,-82.36730155
N7S2C2,43.00243022,-82.36730155
N7S2C3,43.00243022,-82.36730155
N7S2C4,43.00243022,-82.36730155
N7S2C5,43.00243022,-82.36730155
N7S2C6,43.00243022,-82.36730155
N7S2C7,43.00243022,-82.36730155
N7S2E1,43.00290862,-82.37039059
N7S2E2,43.00290862,-82.37039059
N7S2E3,43.00290862,-82.37039059
N7S2E4,43.00290862,-82.37039059
N7S2E5,43.00290862,-82.37039059
N7S2E6,43.00290862,-82.37039059
N7S2E7,43.00290862,-82.37039059
N7S2G1,43.00595998,-82.36836268
N7S2G2,43.00595998,-82.36836268
N7S2G3,43.00595998,-82.36836268
N7S2G4,43.00595998,-82.36836268
N7S2G5,43.00595998,-82.36836268
N7S2G6,43.00595998,-82.36836268
N7S2G7,43.00595998,-82.36836268
N7S2G8,43.00595998,-82.36836268
N7S2H1,43.00916958,-82.36604572
N7S2H2,43.00916958,-82.36604572
N7S2H3,43.00916958,-82.36604572
N7S2H4,43.00916958,-82.36604572
N7S2H5,43.00916958,-82.36604572
N7S2H6,43.00916958,-82.36604572
N7S2H7,43.00916958,-82.36604572
N7S2J1,43.01346302,-82.35438493
N7S2J2,43.01346302,-82.35438493
N7S2J3,43.01346302,-82.35438493
N7S2J4,43.01346302,-82.35438493
N7S2J5,43.01346302,-82.35438493
N7S2J6,43.01346302,-82.35438493
N7S2J7,43.01346302,-82.35438493
N7S2K1,43.01334074,-82.35982544
N7S2K2,43.01334074,-82.35982544
N7S2K3,43.01334074,-82.35982544
N7S2K4,43.01334074,-82.35982544
N7S2K5,43.01334074,-82.35982544
N7S2K6,43.01334074,-82.35982544
N7S2K7,43.01334074,-82.35982544
N7S2L1,43.01475257,-82.36353072
N7S2L2,43.01475257,-82.36353072
N7S2L3,43.01475257,-82.36353072
N7S2L4,43.01475257,-82.36353072
N7S2L5,43.01475257,-82.36353072
N7S2L6,43.01475257,-82.36353072
N7S2L7,43.01475257,-82.36353072
N7S2M1,43.0187982,-82.34964626
N7S2M2,43.0187982,-82.34964626
N7S2M3,43.0187982,-82.34964626
N7S2M4,43.0187982,-82.34964626
N7S2M5,43.0187982,-82.34964626
N7S2M6,43.0187982,-82.34964626
N7S2M7,43.0187982,-82.34964626
N7S2N1,42.97914503,-82.36851039
N7S2N2,43.01787557,-82.35875728
N7S2N3,43.01787557,-82.35875728
N7S2N4,43.01787557,-82.35875728
N7S2N5,43.01787557,-82.35875728
N7S2N6,43.01787557,-82.35875728
N7S2N7,43.01787557,-82.35875728
N7S2N8,43.01787557,-82.35875728
N7S2P1,42.96917615,-82.37146138
N7S2P2,42.96917615,-82.37146138
N7S2P3,42.96917615,-82.37146138
N7S2P4,42.96917615,-82.37146138
N7S2P5,42.96917615,-82.37146138
N7S2P6,42.96917615,-82.37146138
N7S2P7,42.96917615,-82.37146138
N7S2R1,42.9768934,-82.37521272
N7S2R2,42.9768934,-82.37521272
N7S2R3,42.9768934,-82.37521272
N7S2R4,42.9768934,-82.37521272
N7S2R5,42.9768934,-82.37521272
N7S2R6,42.9768934,-82.37521272
N7S2R7,42.9768934,-82.37521272
N7S2S1,42.97558292,-82.37093387
N7S2S2,42.97558292,-82.37093387
N7S2S3,42.97558292,-82.37093387
N7S2S4,42.97558292,-82.37093387
N7S2S5,42.97558292,-82.37093387
N7S2S6,42.97558292,-82.37093387
N7S2S7,42.97558292,-82.37093387
N7S2T1,42.98073472,-82.37094618
N7S2T2,42.98073472,-82.37094618
N7S2T3,42.98073472,-82.37094618
N7S2T4,42.98073472,-82.37094618
N7S2T5,42.98073472,-82.37094618
N7S2T6,42.98073472,-82.37094618
N7S2T7,42.98073472,-82.37094618
N7S2V1,42.98201128,-82.36996423
N7S2V2,42.98201128,-82.36996423
N7S2V3,42.98201128,-82.36996423
N7S2V4,42.98201128,-82.36996423
N7S2V5,42.98201128,-82.36996423
N7S2V6,42.98201128,-82.36996423
N7S2V7,42.98201128,-82.36996423
N7S2W1,42.98180374,-82.36768038
N7S2W2,42.98180374,-82.36768038
N7S2W3,42.98180374,-82.36768038
N7S2W4,42.98180374,-82.36768038
N7S2W5,42.98180374,-82.36768038
N7S2W6,42.98180374,-82.36768038
N7S2W7,42.98180374,-82.36768038
N7S2X1,42.96717177,-82.36660384
N7S2X2,42.96717177,-82.36660384
N7S2X3,42.96717177,-82.36660384
N7S2X4,42.96717177,-82.36660384
N7S2X5,42.96717177,-82.36660384
N7S2X6,42.96717177,-82.36660384
N7S2X7,42.96717177,-82.36660384
N7S2Y1,42.98404504,-82.3666673
N7S2Y2,42.98404504,-82.3666673
N7S2Y3,42.98404504,-82.3666673
N7S2Y4,42.98404504,-82.3666673
N7S2Y5,42.98404504,-82.3666673
N7S2Y6,42.98404504,-82.3666673
N7S2Z1,43.00799969,-82.36564154
N7S2Z2,43.00799969,-82.36564154
N7S2Z3,43.00799969,-82.36564154
N7S2Z4,43.00799969,-82.36564154
N7S2Z5,43.00799969,-82.36564154
N7S2Z6,43.00799969,-82.36564154
N7S2Z7,43.00799969,-82.36564154
N7S3A1,42.98195001,-82.36499363
N7S3A2,42.98195001,-82.36499363
N7S3A3,42.98195001,-82.36499363
N7S3A4,42.98195001,-82.36499363
N7S3A5,42.98195001,-82.36499363
N7S3A6,42.98195001,-82.36499363
N7S3A7,42.98195001,-82.36499363
N7S3B1,42.98308274,-82.36178044
N7S3B2,42.98308274,-82.36178044
N7S3B3,42.98308274,-82.36178044
N7S3B4,42.98308274,-82.36178044
N7S3B5,42.98308274,-82.36178044
N7S3B6,42.98308274,-82.36178044
N7S3B7,42.98308274,-82.36178044
N7S3C1,42.9885039,-82.37087677
N7S3C2,42.9885039,-82.37087677
N7S3C3,42.9885039,-82.37087677
N7S3C4,42.9885039,-82.37087677
N7S3C5,42.9885039,-82.37087677
N7S3C6,42.9885039,-82.37087677
N7S3C7,42.9885039,-82.37087677
N7S3E1,42.99025472,-82.36933988
N7S3E2,42.99025472,-82.36933988
N7S3E3,42.99025472,-82.36933988
N7S3E4,42.99025472,-82.36933988
N7S3E5,42.99025472,-82.36933988
N7S3E6,42.99025472,-82.36933988
N7S3E7,42.99025472,-82.36933988
N7S3G1,42.99421772,-82.36944079
N7S3G2,42.99421772,-82.36944079
N7S3G3,42.99421772,-82.36944079
N7S3G4,42.99421772,-82.36944079
N7S3G5,42.99421772,-82.36944079
N7S3G6,42.99421772,-82.36944079
N7S3G7,42.99421772,-82.36944079
N7S3H1,42.99587245,-82.37155603
N7S3H2,42.99587245,-82.37155603
N7S3H3,42.99587245,-82.37155603
N7S3H4,42.99587245,-82.37155603
N7S3H5,42.99587245,-82.37155603
N7S3H6,42.99587245,-82.37155603
N7S3H7,42.99587245,-82.37155603
N7S3J1,42.99498569,-82.36876076
N7S3J2,42.99498569,-82.36876076
N7S3J3,42.99498569,-82.36876076
N7S3J4,42.99498569,-82.36876076
N7S3J5,42.99498569,-82.36876076
N7S3J6,42.99498569,-82.36876076
N7S3J7,42.99498569,-82.36876076
N7S3K1,42.99610395,-82.37025886
N7S3K2,42.99610395,-82.37025886
N7S3K3,42.99610395,-82.37025886
N7S3K4,42.99610395,-82.37025886
N7S3K5,42.99610395,-82.37025886
N7S3K6,42.99610395,-82.37025886
N7S3K7,42.99610395,-82.37025886
N7S3L1,43.00163485,-82.37012721
N7S3L2,43.00163485,-82.37012721
N7S3L3,43.00163485,-82.37012721
N7S3L4,43.00163485,-82.37012721
N7S3L5,43.00163485,-82.37012721
N7S3L6,43.00163485,-82.37012721
N7S3L7,43.00163485,-82.37012721
N7S3M1,43.0187982,-82.34964626
N7S3M2,43.00753835,-82.37195885
N7S3M3,43.00753835,-82.37195885
N7S3M4,43.00753835,-82.37195885
N7S3M5,43.00753835,-82.37195885
N7S3M6,43.00753835,-82.37195885
N7S3M7,43.00753835,-82.37195885
N7S3N1,43.00820098,-82.3661215
N7S3N2,43.00820098,-82.3661215
N7S3N3,43.00820098,-82.3661215
N7S3N4,43.00820098,-82.3661215
N7S3N5,43.00820098,-82.3661215
N7S3N6,43.00820098,-82.3661215
N7S3N7,43.01055648,-82.37137311
N7S3P1,43.01063564,-82.37000592
N7S3P2,43.01063564,-82.37000592
N7S3P3,43.01063564,-82.37000592
N7S3P4,43.01063564,-82.37000592
N7S3P8,43.01063564,-82.37000592
N7S3P9,43.01063564,-82.37000592
N7S3R1,43.01391392,-82.36114677
N7S3R2,43.01391392,-82.36114677
N7S3R3,43.01391392,-82.36114677
N7S3R4,43.01391392,-82.36114677
N7S3R5,43.01391392,-82.36114677
N7S3R6,43.01391392,-82.36114677
N7S3R7,43.01391392,-82.36114677
N7S3S1,43.01342753,-82.35555469
N7S3S2,43.01342753,-82.35555469
N7S3S3,43.01342753,-82.35555469
N7S3S4,43.01342753,-82.35555469
N7S3S5,43.01342753,-82.35555469
N7S3S6,43.01342753,-82.35555469
N7S3S7,43.01342753,-82.35555469
N7S3T1,43.01619074,-82.36256671
N7S3T2,43.01619074,-82.36256671
N7S3T3,43.01619074,-82.36256671
N7S3T4,43.01619074,-82.36256671
N7S3T5,43.01619074,-82.36256671
N7S3T6,43.01619074,-82.36256671
N7S3T7,43.01619074,-82.36256671
N7S3V1,42.99735695,-82.36030967
N7S3V2,42.99735695,-82.36030967
N7S3V3,42.99735695,-82.36030967
N7S3V4,42.99735695,-82.36030967
N7S3V5,42.99735695,-82.36030967
N7S3V6,42.99735695,-82.36030967
N7S3V7,42.99735695,-82.36030967
N7S3W1,42.99624266,-82.36062527
N7S3W2,42.99624266,-82.36062527
